"Masc, Sing, Free","Masc, Sing, Bound","Masc, Plural, Free","Masc, Plural, Bound","Fem, Sing, Free","Fem, Sing, Bound","Fem, Plural, Free","Fem, Plural, Bound"
!akrkad,!ukrkad,!ikrkadn,!ikrkadn,!takrkatt,!tkrkatt,!tikrkadin,!tikrkadin
aʁrrabu,uʁrrabu,iʁrruba,iʁrruba,taʁrrabut,tʁrrabut,tiʁrruba,tiʁrruba
!abarku,!ubarku,!iburka,!iburka,!tabarkut,!tbarkut,!tiburka,!tburka
azddar,uzddar,,,,,,
!abarra,!ubarra,!ibarratn,!ibarratn,!tabarrat,!tbarrat,!tibarratin,!tbarratin
!abanna,!ubanna,!ibannatn,!ibannatn,!tabannat,!tbannat,!tibannatin,!tbannatin
afrwal,ufrwal,ifrwaln,ifrwaln,tafrwalt,tfrwalt,tifrwalin,tfrwalin
562,,,,,,,
212,,,,,,,
aħlajs,uħlajs,iħljas,iħljas,taħlajs,tħlajs,tiħljas,tħljas
aħħram,uħħram,iħħramn,iħħramn,taħħramt,tħħramt,tiħħramin,tħħramin
!akuraj,!akuraj,!akuraj,!akuraj,!akuraj,!akuraj,!akuraj,!akuraj
!aχʷbbat,!uχʷbbat,!iχʷbbatn,!iχʷbbatn,!aχʷbbatt,!tχʷbbatt,!tiχʷbbatin,!tiχʷbbatin
asuff,usuff,isuffn,,,,,
abʒʒaq,ubʒʒaq,ibʒʒaqn,ibʒʒaqn,tabʒʒaqt,tbʒʒaqt,tibʒʒaqin,tibʒʒaqin
alddaj,ulddaj,ilddajn,ilddajn,,,,
amrmur,umrmur,imrmurn,imrmurn,,,,
afalkaj,ufalkaj,ifalkajn,ifalkajn,tafalkajt,tfalkajt,ifalkajn,ifalkajn
arbib,urbib,irbibn,irbibn,tarbibt,trbibt,tirbibin,trbibin
afulki,ufulki,,,,,,
aʁnzur,uʁnzur,iʁʷnzar,iʁʷnzar,taʁnzurt,tʁnzurt,tiʁʷnzar,tʁʷnzar
!afrjad,!ufrjad,!ifrjadn,!ifrjadn,!tafrjatt,!tfrjatt,!tifrjadin,!tfrjadin
226,,,,,,,
aqaddim,uqaddim,iqaddimn,iqaddimn,taqaddimt,tqaddimt,tiqaddimin,tqaddimin
!agrwaz,!ugrwaz,!igrwazn,!igrwazn,!tagrwazt,!tgrwazt,!tigrwazin,!tgrwazin
atmtam,utmtam,itmtamn,itmtamn,tatmtamt,ttmtamt,titmtamin,titmtamin
atftaf,utftaf,itftafn,itftafn,tatftaft,ttftaft,titftafin,ttftafin
izimmr,izimmr,izammarn,izammarn,,,,
aħuli,uħuli,iħulin,iħulin,,,,
!amrdi,!umrdi,!imrdijn,!imrdijn,!tamrdit,!tmrdit,!timrdijin,!tmrdijin
ambʷarki,umbʷarki,imbʷarkijn,imbʷarkijn,tambʷarkit,tmbʷarkit,timbʷarkijin,tmbʷarkijin
anuɦnnu,unuɦnnu,,,,,,
aduɦdu,uduɦdu,,,,,,
amksa,umksa,imksawn,imksawn,tamksat,tmksat,timksawin,tmksawin
abidun,ubidun,ibidan,ibidan,tabidunt,tbidunt,tibidan,tbidan
abzg,ubzg,ibzgan,ibzgan,,,,
asgdl,usgdl,isgdal,isgdil,tasgdlt,tsgdlt,tisgdal,tsgdal
umlil,umlil,umliln,umliln,tumlilt,tumlilt,tumlilin,tumlilin
timlli,tmlli,,,,,,
ird,jird,irdn,jirdn,,,,
aznbu,uznbu,,,,,,
amagus,umagus,imugas,imugas,tamagust,tmagust,timugas,tmugas
,,,,tiggst,tiggst,tiggas,tiggas
aggas,waggas,aggasn,waggasn,taggast,taggast,taggasin,taggasin
amraz,umraz,imrazn,imrazn,,,,
aʃɦbun,uʃɦbun,iʃɦbunn,iʃɦbunn,taʃɦbunt,tʃɦbunt,tiʃɦbunin,tʃɦbunin
azgr,uzgr,izgran,izgran,,,,
afunas,ufunas,ifunasn,ifunasn,tafunast,tfunast,tifunasin,tfunasin
assrʁu,ussrʁu,issrʁutn,issrʁutn,,,,
!ibidr,!ibidr,,,,,,
!abidar,!ubidar,!ibidarn,!ibidarn,!tabidart,!tbidart,!tibidarin,!tbidarin
1514,,,,,,,
,,,,tama,tama,,
ird,jir,ariwn,wariwn,,,,
amknanu,umknanu,imknuna,imknuna,tamknanut,tmknanut,timknuna,tmknuna
ankkur,unkkur,inkʷran,inkʷran,tankkurt,tnkkurt,tinkʷrin,tnkʷrin
ikru,ikru,ikrwan,ikrwan,,,,
