Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
224.0,talb,ħ,[ħ],[ħ],
225.0,talb,unwal,[u-nwal],[SMCS-hut],N
226.0,talb,ar,[ar],[AR],
227.0,talb,ittazzal,[i-ttazzal],[3MS-run:Impf],V
228.0,talb,imil,[imil],[but],
229.0,talb,i!drnn,[i-!dr-nn],[3MS-go down:pf-deic],V
230.0,talb,ħ,[ħ],[into],
231.0,talb,t!nuttfi,[t-!nuttfi],[FFSS-tank],N
232.0,talb,ar,[ar],[AR],
233.0,talb,jaqqra,[i-aqqra],[3MS-call:Impf],V
234.0,talb,i,[i],[to],
235.0,talb,!ttalb,[!ttalb],[the master],N
236.0,talb,wa,[wa],[wa],
237.0,talb,ʕla,[ʕla],[for],
238.0,talb,!rbbi,[!rbbi],[God],N
239.0,talb,ʕtq,[ʕtq],[2S:save:ao],V
240.0,talb,!rroħ,[!rroħ],[soul],N
241.0,,New_Sentence,New_Sentence,New_Sentence,
242.0,talb,i!drd,[i-!dr-d],[3MS-go down:pf-deic],V
243.0,talb,!ttalb,[!ttalb],[the master],N
244.0,talb,ħ,[ħ],[ħ],
245.0,talb,tgʒda,[t-gʒd-a],[FSCS-frame],N
246.0,talb,imil,[imil],[but],
247.0,talb,ur,[ur],[neg],
248.0,talb,imzalal,[i-mzalal],[3MS-see:pf],V
249.0,talb,immiqqir,[i-mmiqqir],[3MS-meet:pf],V
250.0,talb,t,[t],[t],
251.0,talb,tsraft,[t-sraf-t],[FSCS-hole],N
252.0,,New_Sentence,New_Sentence,New_Sentence,
253.0,talb,ʁaman,[ʁama-n],[stay:ao-3MP],V
254.0,talb,ʁinn,[ʁinn],[over there],
255.0,talb,ajlliħ,[ajlliħ],[until],
256.0,talb,iffu,[i-ffu],[3MS-become:pf],V
257.0,talb,lħal,[l-ħal],[the time],N
258.0,talb,aʃkdnd,[aʃkd-nd],[come in-3MS_deic],V
259.0,talb,i!mħdarn,[i-!mħdar-n],[PMFS-student],N
260.0,talb,jiliħ,[i-i-liħ],[3MS-be missing:ao],V
261.0,talb,asn,[a-sn],[dat-3MP],
262.0,talb,!ttalb,[!ttalb],[the master],N
263.0,talb,inint,[ini-nt],[say:pf-3MP],V
264.0,talb,i,[i],[to],
265.0,talb,lʒmaʕt,[l-ʒmaʕ-t],[the-group-F],N
266.0,,New_Sentence,New_Sentence,New_Sentence,
267.0,talb,aʃkdnd,[aʃkd-nd],[come in-3MS_deic],V
268.0,talb,ldintnid,[ldi-n-tn-id],[pull out:pf-3MP-Obj:3MP-deic],V
269.0,talb,ilmma,[ilmma],[once again],
270.0,talb,awa,[awa],[so],
271.0,talb,zrin,[zri-n],[pass:pf-3MP],V
272.0,talb,ussan,[ussan],[PMFS:day],N
273.0,talb,!ttalb,[!ttalb],[the master],N
274.0,talb,istabʕann,[i-s-tabʕa-nn],[3MS-caus-go after:ao-deic],V
275.0,talb,ukan,[ukan],[just],
276.0,talb,d,[d],[and],
277.0,talb,i!mħdarn,[i-!mħdar-n],[PMFS-student],N
278.0,talb,d,[d],[and],
279.0,talb,lʒmaʕt,[l-ʒmaʕ-t],[the-group-F],N
280.0,talb,ar,[ar],[AR],
281.0,talb,jaw,[ja-w],[one:M],
282.0,talb,wass,[w-ass],[SMCS-day],N
283.0,talb,nkrn,[nkr-n],[stand up:pf-3MP],V
284.0,talb,ajt,[ajt],[the people],N
285.0,talb,l!modʕ,[l-!modʕ],[the place],N
286.0,talb,ran,[ra-n],[want:pf-3MP],V
287.0,talb,ad,[ad],[AD:Comp],
288.0,talb,skrn,[skr-n],[do:pf-3MP],V
289.0,talb,l!mʕrof,[l-!mʕrof],[the slaughter],N
290.0,talb,ħ,[ħ],[at],
291.0,talb,tmzgida,[t-mzgid-a],[FSCS:mosque],N
292.0,talb,!ʁrsn,[!ʁrs-n],[immolate:ao-3MS],V
293.0,talb,i,[i],[to],
294.0,talb,wfunas,[w-funas],[SNCS-cow],N
295.0,talb,skrn,[skr-n],[do:pf-3MP],V
296.0,talb,sksu,[sksu],[couscous],N
297.0,talb,ula,[ula],[or],
298.0,talb,!ttaʒin,[!ttaʒin],[tajine],N
299.0,talb,ifa,[i-fa],[3MS-give:pf],V
300.0,talb,!rbbi,[!rbbi],[God],N
301.0,talb,lχir,[l-χir],[lot of good],N
302.0,talb,ʃʃn,[ʃʃ-n],[eat:ao-3MP],V
303.0,talb,mddn,[mddn],[people],N
304.0,talb,sun,[su-n],[3MP:drink:pf],V
305.0,talb,gndduʕa,[g-n dduʕa],[3MP:say prayers:pf],
306.0,talb,smunn,[smun-n],[gather:pf-3MP],V
307.0,talb,ifʃkan,[ifʃkan],[SPFS:cup],N
308.0,talb,ad,[ad],[AD:Comp],
309.0,talb,ruħn,[ruħ-n],[3MP:go back:ao],V
310.0,talb,iqqama,[i-qqama],[3MS-stay:pf],V
311.0,talb,aʁar,[aʁar],[just],
312.0,talb,!ttalb,[!ttalb],[the master],N
313.0,talb,waħdat,[waħdat],[alone],
314.0,,New_Sentence,New_Sentence,New_Sentence,
315.0,talb,iddu,[i-ddu],[3MS-go:ao],V
316.0,talb,i!ʕmmr,[i-!ʕmmr],[3MS-make tea:pf],V
317.0,talb,ataj,[ataj],[tea],
318.0,talb,isalat,[i-sala-t],[3MS-finish:pf],V
319.0,talb,ħ,[ħ],[from],
320.0,talb,tħanut,[t-ħanu-t],[FSCS:the shop],N
321.0,talb,!idan,[!idan],[SPFS:dogs],N
322.0,talb,n,[n],[of],
323.0,talb,ajt,[ajt],[the people],N
324.0,talb,l!modʕ,[l-!modʕ],[the place],N
325.0,talb,salan,[sala-n],[finish:pf-3MP],V
326.0,talb,iχsan,[i-χs-an],[PMFS-bone],N
327.0,talb,had,[had],[had],
328.0,talb,fllasn,[flla-s-n],[on-3MP],
329.0,talb,ifis,[ifis],[hyena],N
330.0,talb,!dwatnn,[!dwat-nn],[!dwat-nn],V
331.0,talb,ukan,[ukan],[just],
332.0,talb,tħinn,[tħi-nn],[tħinn],V
333.0,talb,taħanut,[ta-ħanu-t],[FFSS:the shop],N
334.0,talb,f,[f],[f],
335.0,talb,!ttalb,[!ttalb],[the master],N
336.0,talb,iʃʃukkutninn,[i-ʃʃukku-tn-inn],[3MS-follow:ao-Obj:3MP-deic],V
337.0,talb,ifis,[ifis],[hyena],N
338.0,talb,iggammi,[i-ggammi],[3MS-refuse:pf],V
339.0,talb,!ttalb,[!ttalb],[the master],N
340.0,talb,manik,[mani-k],[how-2S],
341.0,talb,a,[ad],[AD:comp],
342.0,talb,jskar,[i-skar],[3MS-do:impf],V
343.0,talb,issrʁ,[i-ss-rʁa],[3MS-caus-light:ao],V
344.0,talb,lqndil,[l-qndil],[the torch],N
345.0,talb,ajlliħ,[ajlliħ],[until],
346.0,talb,as,[a-s],[dat:3S],
347.0,talb,laħ,[laħ],[laħ],
348.0,talb,lħilt,[l-ħilt],[cunning],N
349.0,talb,tili,[t-ili],[3FS-be:pf],V
