Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
168.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
169.0,lxdmt,tlla,[t-lla],[3FS-be:pf],V
170.0,lxdmt,!rraħt,[!rraħt],[rest],N
171.0,lxdmt,jili,[i-ili],[3MS-be:pf],V
172.0,lxdmt,ttaman,[ttaman],[price],N
173.0,lxdmt,walajnni,[walajnni],[but],
174.0,lxdmt,ħtta,[ħtta],[even if],
175.0,lxdmt,lχdmt,[l-χdm-t],[job],N
176.0,lxdmt,ʁ,[ʁ],[at],
177.0,lxdmt,!brra,[!brra],[the countryside],N
178.0,lxdmt,iʁ,[iʁ],[if],
179.0,lxdmt,tlla,[t-lla],[3FS-be:pf],V
180.0,lxdmt,hati,[hati],[presentative],
181.0,lxdmt,tfulki,[t-fulki],[3FS-be pretty],V
182.0,lxdmt,inna,[inna],[whatever],
183.0,lxdmt,t,[d],[AD:Comp],
184.0,lxdmt,tiwi,[t-iwi],[3FS-bring:pf],V
185.0,lxdmt,luqt,[l-uqt],[the-time],N
186.0,lxdmt,tg,[t-g],[2S-do:ao-2S],V
187.0,lxdmt,tt,[tt],[Obj:3S],
188.0,lxdmt,ʁ,[ʁ],[in],
189.0,lxdmt,uqrab,[u-qrab],[SMCS-bag],N
190.0,lxdmt,nk,[n-k],[PossDet:2MS],
191.0,lxdmt,tʃʃt,[t-ʃʃ-t],[2S-eat:Impf-2S],V
192.0,lxdmt,tiram,[tiram],[sweat],N
193.0,lxdmt,nk,[n-k],[PossDet:2MS],
194.0,lxdmt,tg,[t-g],[3FS-do:Impf],V
195.0,lxdmt,kullu,[kullu],[all],
196.0,lxdmt,l!fdl,[l-!fdl],[the-profit],N
197.0,lxdmt,umma,[umma],[whereas],
198.0,lxdmt,a,[a],[Voc],
199.0,lxdmt,gwma,[gwma],[brother],N
200.0,lxdmt,hann,[hann],[presentative],
