Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
150.0,aHttab,i!drnn,[i-!dr-n-n],[which-pass-n:partic],V
151.0,aHttab,New_Sentence,New_Sentence,New_Sentence,
152.0,aHttab,jasid,[i-asi-d],[3MS-bring:ao-deic],V
153.0,aHttab,!ttir,[!ttir],[a bird],N
154.0,aHttab,lli,[lli],[RelPro],
155.0,aHttab,izzigzd,[i-zzigz-d],[3MS-[walk:ao-deic],V
156.0,aHttab,ajlliʁd,[ajlliʁ-d],[until-deic],
157.0,aHttab,ilkm,[i-lkm],[3MS-get in:pf],V
158.0,aHttab,tigmmi,[ti-gmmi],[FFSS-house],N
159.0,,New_Sentence,New_Sentence,New_Sentence,
160.0,aHttab,tmmiqqir,[t-mmiqqir],[3FS-get upset:pf],V
161.0,aHttab,iss,[iss],[with],
162.0,aHttab,tmʁart,[t-mʁar-t],[FSCS-woman],N
163.0,,New_Sentence,New_Sentence,New_Sentence,
164.0,aHttab,tnna,[t-nna],[3FS-say:pf],V
165.0,aHttab,jas,[i-a-s],[to-dat-3S],
166.0,aHttab,awa,[awa],[so],
167.0,aHttab,ʁassad,[ʁ-ass-a-d],[today-deic],N
168.0,aHttab,akkw,[akkw],[not even],
169.0,aHttab,urd,[ur-d],[neg-deic],
170.0,aHttab,tiwit,[t-iwi-t],[2MS-bring:ao],V
171.0,aHttab,ma,[ma],[what],
172.0,aHttab,nʃʃa,[n-ʃʃa],[1P-eat:pf],V
173.0,,New_Sentence,New_Sentence,New_Sentence,
174.0,aHttab,inna,[i-nna],[3MS-say:pf],V
175.0,aHttab,jas,[i-a-s],[to-dat-3S],
176.0,aHttab,a,[a],[voc],
177.0,aHttab,bnti,[bnti],[my daughter],N
178.0,aHttab,illa,[i-lla],[3MS-be:pf],V
179.0,aHttab,u!smmid,[u-!smmid],[SMCS-cold],N
180.0,aHttab,iχwʃnn,[i-χwʃnn],[3MS-be bad:pf],V
181.0,aHttab,ur,[ur],[neg],
182.0,aHttab,ufiʁ,[ufi-ʁ],[find:pf-1S],V
183.0,aHttab,mad,[mad],[what],
184.0,aHttab,skarʁ,[skar-ʁ],[do:ao-1S],V
185.0,,New_Sentence,New_Sentence,New_Sentence,
186.0,aHttab,tnna,[t-nna],[3FS-say:pf],V
187.0,aHttab,jas,[i-a-s],[to-dat-3S],
188.0,aHttab,mas,[ma-s],[what-with],
189.0,aHttab,ra,[ra],[ra],
190.0,aHttab,za,[za],[za],
